,count,mean,std,min,25%,50%,75%,max
total_sales_amount,1435.0,4447255075.21,13619118765.97,212000.0,992000.0,25371500.0,1748747441.5,139658409516.0
total_audience_count,1435.0,508264.82,1552928.6,102.0,181.0,2475.0,193982.0,16266641.0
screen_count_peak,1435.0,340.02,509.02,1.0,20.0,25.0,579.5,2980.0
show_count_total,1435.0,18432.08,42538.65,1.0,20.0,222.0,14000.5,375436.0
sales_share_peak,1435.0,0.01,0.02,0.0,0.0,0.0,0.0,0.21
boxoffice_year_count,1435.0,1.46,1.06,1.0,1.0,1.0,1.0,9.0
