movie_id,movie_name,open_date,genre,rating,director,production_company,distributor_meta,distributor_boxoffice,distributor_final,rep_nation,nation,total_sales_amount,total_audience_count,screen_count_peak,show_count_total,sales_share_peak,boxoffice_year_count,boxoffice_years,match_status,match_strategy
20233039.0,살인자 리포트,20250905,드라마|스릴러,청소년관람불가,조영준,주식회사 위드에이스튜디오|(주)엠아이케이스튜디오,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점|주식회사 에이투지엔터테인먼트,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,주식회사 에이투지엔터테인먼트",소니픽쳐스엔터테인먼트코리아주식회사극장배급지점|주식회사 에이투지엔터테인먼트,한국,한국,3656329360,366298,841,30094,0.009,1,2025,matched,exact
20231495.0,소주전쟁,20250530,드라마,15세이상관람가,,더램프(주),(주)쇼박스,(주)쇼박스,(주)쇼박스,한국,한국,2641291950,283787,1040,27191,0.0069999999999999,1,2025,matched,exact
20256526.0,브레드이발소: 베이커리타운의 악당들,20250927,애니메이션,전체관람가,정지환,주식회사 브레드이발소,씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV)(주),한국,한국,2494627600,282480,387,11594,0.006,1,2025,matched,exact
20233008.0,로비,20250402,드라마|코미디,15세이상관람가,하정우,워크하우스컴퍼니(주)|(주)필름모멘텀,(주)쇼박스,(주)쇼박스,(주)쇼박스,한국,한국,2469547340,262377,1013,33018,0.006,1,2025,matched,exact
20258808.0,뽀로로 극장판 스위트캐슬 대모험,20251211,애니메이션,전체관람가,천유림,(주)오콘,롯데컬처웍스(주)롯데엔터테인먼트|롯데컬처웍스(주)롯데시네마,"롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데시네마",롯데컬처웍스(주)롯데엔터테인먼트|롯데컬처웍스(주)롯데시네마,한국,한국,1892881630,216003,660,11063,0.005,1,2025,matched,exact
20216476.0,브로큰,20250205,범죄|드라마,15세이상관람가,김진황,을지기획 주식회사|(주)사나이픽처스,(주)바른손이앤에이,(주)바른손이앤에이,(주)바른손이앤에이,한국,한국,1831874700,197949,818,21420,0.005,1,2025,matched,exact
20233259.0,정보원,20251203,코미디|범죄,15세이상관람가,김석,팝콘필름㈜,(주)영화특별시에스엠씨,(주)영화특별시에스엠씨,(주)영화특별시에스엠씨,한국,한국,1533365100,167700,766,13635,0.004,1,2025,matched,exact
20241093.0,"그 시절, 우리가 좋아했던 소녀",20250221,멜로/로맨스,12세이상관람가,조영명,(주)영화사테이크|주식회사 자유로픽쳐스,(주)위지윅스튜디오|씨제이 씨지브이(CJ CGV)(주),"(주)위지윅스튜디오,씨제이 씨지브이(CJ CGV)(주)",(주)위지윅스튜디오|씨제이 씨지브이(CJ CGV)(주),한국,한국,1471023000,164922,709,18123,0.004,1,2025,matched,exact
20249255.0,만약에 우리,20251231,멜로/로맨스,15세이상관람가,김도영,커버넌트픽처스(주),(주)쇼박스,(주)쇼박스,(주)쇼박스,한국,한국,1108163360,129136,961,2857,0.003,1,2025,matched,exact
20247638.0,괴기열차,20250709,공포(호러),15세이상관람가,탁세웅,(주)메이킹에이프린트,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),한국,한국,983800450,105990,578,7723,0.002,1,2025,matched,exact
