movie_name,open_date,distributor_boxoffice,boxoffice_years
SIFF2016-경쟁단편 7,,,2016
이어도,,,2016|2018|2019|2021|2023|2024|2025
인연,,,2016
인디다큐페스티발2016 국내신작전 15,,,2016
주홍글씨,20041029,(주)쇼박스,2016|2017|2018|2019|2021
SIFF2016-경쟁단편 6,,,2016
SIFF2016-특별단편 3,,,2016
인디애니페스트2016-독립보행3,,,2016
SIFF2016-경쟁단편 5,,,2016
인디애니페스트2016-새벽비행2,,,2016
낮은데로 임하소서,19820626,,2016
오픈 프레임 한국 작가 애니메이션 특별전,,,2016
오오단편극장 – 김태리 배우 특별전,,,2016
우아한 거짓말,20140313,CGV아트하우스,2016|2017|2018|2019|2025
SIFF2016-특별단편 1,,,2016
엄마의 남자,,노바엔터테인먼트,2016
제15회 미쟝센 단편영화제 심야상영,,,2016
SIFF2016-선택 3,,,2016
깨어난 침묵,,,2016|2017|2021
SIFF2016-선택 4,,,2016
제6회 고양스마트영화제 1일 1부,,,2016
제6회 고양스마트영화제 2일 2부,,,2016
제6회 고양스마트영화제 1일 2부,,,2016
제6회 고양스마트영화제 2일 1부,,,2016
AISFF2016 국내경쟁 1,,,2016
뽀로로 극장판 슈퍼썰매 대모험,20130123,"(주)넥스트엔터테인먼트월드(NEW),(주)씨제이이엔엠",2016|2017
공부의 나라,,,2016
[PDFF2016] PDFF경선 3,,,2016
[PDFF2016] PDFF경선 4,,,2016
[PDFF2016] PDFF경선 5,,,2016
1월 단편 상상극장-해피 뉴 스타,,,2016
AISFF2016 국내경쟁 2,,,2016
SIFF2016-경쟁단편 3,,,2016
플라워링 하트,,,2016
2016 대단한단편영화제-단편 경쟁 섹션 4,,,2016
레드마리아2,,,2016|2019
SIFF2016-선택 1,,,2016
오디오 비주얼 필름 크리틱 : 봉준호의 영화 세계,,,2016
인디다큐페스티발2016 국내신작전 11,,,2016
다이노 타임,20150430,(주)씨제이이엔엠,2016|2017
늑대소년,20121031,(주)씨제이이엔엠,2016|2018|2021|2022
오브,,,2016
