movie_id,movie_name,open_date,genre,rating,director,production_company,distributor_meta,distributor_boxoffice,distributor_final,rep_nation,nation,total_sales_amount,total_audience_count,screen_count_peak,show_count_total,sales_share_peak,boxoffice_year_count,boxoffice_years,match_status,match_strategy
20159645,특별수사: 사형수의 편지,20160616,범죄|드라마,15세이상관람가,권종관,(주)콘텐츠케이,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),한국,한국,9932284065,1243065,691,39389,0.011000000000000001,2,2016|2017,matched,exact
20142621,시간이탈자,20160413,스릴러,15세이상관람가,곽재용,(주)씨제이이엔엠|상상필름(주),(주)씨제이이엔엠,(주)씨제이이엔엠,(주)씨제이이엔엠,한국,한국,9732600195,1202511,733,55076,0.011000000000000001,2,2016|2019,matched,exact
20158482,동주,20160217,드라마,12세이상관람가,이준익,(주) 루스이소니도스,메가박스중앙(주) 플러스엠 엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트,한국,한국,8930689603,1178054,543,40217,0.01,9,2016|2017|2018|2019|2020|2021|2022|2023|2025,matched,exact
20153741,미씽: 사라진 여자,20161130,미스터리,15세이상관람가,이언희,다이스필름(주),메가박스중앙(주) 플러스엠 엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트,한국,한국,8882181256,1153201,790,40625,0.01,2,2016|2017,matched,exact
20152371,"당신, 거기 있어줄래요",20161214,판타지|드라마,12세이상관람가,홍지영,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,한국,한국,9362499928,1168827,767,41418,0.01,4,2016|2017|2018|2021,matched,exact
20158483,오빠생각,20160121,드라마|전쟁,12세이상관람가,이한,(주)조이래빗,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),한국,한국,8063413287,1070232,855,44805,0.009000000000000001,3,2016|2024|2025,matched,exact
20152782,"날, 보러와요",20160407,미스터리|스릴러,청소년관람불가,이철하,올픽처스 주식회사|(주)발렌타인필름,메가박스중앙(주) 플러스엠 엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트,한국,한국,8836144063,1063442,683,49237,0.01,1,2016,matched,exact
20159648,"고산자, 대동여지도",20160907,사극,전체관람가,강우석,(주)시네마서비스,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)씨제이이엔엠,한국,한국,7801727258,974352,765,38049,0.009000000000000001,2,2016|2024,matched,exact
20150977,좋아해줘,20160217,멜로/로맨스|코미디,12세이상관람가,박현진,리양필름(주)|(주)제이케이필름,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)씨제이이엔엠,한국,한국,6575423337,848395,637,27127,0.006999999999999999,2,2016|2021,matched,exact
20163521,스플릿,20161109,드라마,15세이상관람가,최국희,오퍼스픽쳐스(유),오퍼스픽쳐스(유),오퍼스픽쳐스(유),오퍼스픽쳐스(유),한국,한국,6102712539,758195,702,32618,0.006999999999999999,2,2016|2017,matched,exact
