"순위","영화명","개봉일","매출액","매출액 점유율","관객수","스크린수","상영횟수","대표국적","국적","배급사"
"1","파묘","2024-02-22","115157490414","0.17300000000000001","11914784","2367","364955","한국","한국","(주)쇼박스"
"2","범죄도시4","2024-04-24","110050000734","0.165","11502779","2980","375434","한국","한국","주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트"
"3","베테랑2","2024-09-13","72474035814","0.109","7525339","2691","279673","한국","한국","(주)씨제이이엔엠"
"4","파일럿","2024-07-31","43204079201","0.065","4718036","1956","203283","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"5","소방관","2024-12-04","31161375290","0.047","3317296","1594","119780","한국","한국","(주)바이포엠스튜디오"
"6","하얼빈","2024-12-24","26249028320","0.039","2755236","2125","72494","한국","한국","(주)씨제이이엔엠"
"7","탈주","2024-07-03","24239796596","0.036000000000000004","2561872","1234","121035","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"8","핸섬가이즈","2024-06-26","16596666601","0.025","1777008","1065","93583","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"9","하이재킹","2024-06-21","16844279086","0.025","1774150","1155","86720","한국","한국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리스튜디오"
"10","시민덕희","2024-01-24","16174180097","0.024","1715064","1281","96283","한국","한국","(주)쇼박스"
"11","외계+인 2부","2024-01-10","13792326337","0.021","1430121","1390","97872","한국","한국","(주)씨제이이엔엠"
"12","서울의 봄","2023-11-22","12579385802","0.019","1273640","1614","82246","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"13","사랑의 하츄핑","2024-08-07","11107794292","0.017","1239178","1159","57721","한국","한국","(주)쇼박스"
"14","그녀가 죽었다","2024-05-15","11808970596","0.018000000000000002","1237103","1008","76230","한국","한국","(주)콘텐츠지오,(주)아티스트스튜디오,(주)무빙픽쳐스컴퍼니"
"15","노량: 죽음의 바다","2023-12-20","10977702435","0.016","1135516","1706","74075","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스"
"16","히든페이스","2024-11-20","9591875140","0.013999999999999999","1012014","1072","57832","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"17","댓글부대","2024-03-27","9240359711","0.013999999999999999","972991","1228","67720","한국","한국","(주)에이스메이커무비웍스"
"18","대도시의 사랑법","2024-10-01","8303965930","0.012","879109","1101","75829","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"19","청설","2024-11-06","7484993310","0.011000000000000001","802133","1060","62744","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"20","행복의 나라","2024-08-14","6564144142","0.01","710620","1096","47841","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"21","탈출: 프로젝트 사일런스","2024-07-12","6713334362","0.01","689603","1078","43149","한국","한국","(주)씨제이이엔엠"
"22","보통의 가족","2024-10-16","6047884570","0.009000000000000001","650336","1277","60416","한국","한국","(주)하이브미디어코프,(주)마인드마크"
"23","원더랜드","2024-06-05","5919481710","0.009000000000000001","625908","1165","43938","한국","한국","(주)에이스메이커무비웍스"
"24","아마존 활명수","2024-10-30","5390831280","0.0080","606612","1479","56874","한국","한국","(주)바른손이앤에이"
"25","설계자","2024-05-29","4728639867","0.006999999999999999","525369","1345","44745","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"26","빅토리","2024-08-14","4546643767","0.006999999999999999","508467","789","35623","한국","한국","(주)마인드마크"
"27","늘봄가든","2024-08-21","3664813577","0.0050","380376","875","25947","한국","한국","(주)바이포엠스튜디오,(주)제이앤씨미디어그룹"
"28","도그데이즈","2024-02-07","3574815608","0.0050","368102","847","27554","한국","한국","(주)씨제이이엔엠"
"29","임영웅│아임 히어로 더 스타디움","2024-08-28","10117142500","0.015","357858","224","16382","한국","한국","씨지브이 아이스콘,씨제이포디플렉스 주식회사"
"30","1승","2024-12-04","2813553530","0.0040","322017","995","25224","한국","한국","(주)콘텐츠지오,(주)키다리스튜디오,㈜아티스트컴퍼니"
"31","대가족","2024-12-11","2796081600","0.0040","316473","939","23336","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"32","브레드이발소: 빵스타의 탄생","2024-09-14","2288885000","0.0030","266128","427","12701","한국","한국","씨제이 씨지브이(CJ CGV)(주)"
"33","안녕, 할부지","2024-09-04","2432238239","0.0040","264244","1021","28701","한국","한국","(주)바른손이앤에이"
"34","리볼버","2024-08-07","2334760653","0.0030","249440","861","17899","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"35","데드맨","2024-02-07","2272468704","0.0030","238235","800","19490","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
