"순위","영화명","개봉일","매출액","매출액 점유율","관객수","스크린수","상영횟수","대표국적","국적","배급사"
"1","모가디슈","2021-07-28","34558297730","0.212","3613984","1688","210740","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"2","싱크홀","2021-08-11","21395652690","0.131","2195683","1603","121841","한국","한국","(주)쇼박스"
"3","인질","2021-08-18","15585244870","0.095","1638439","1294","110424","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"4","보이스","2021-09-15","14025546720","0.086","1426357","1296","118227","한국","한국","(주)씨제이이엔엠"
"5","발신제한","2021-06-23","9102830540","0.055999999999999994","955808","1010","71157","한국","한국","(주)씨제이이엔엠"
"6","랑종","2021-07-14","8639576030","0.053","834338","1403","51793","한국","한국,태국","(주)쇼박스"
"7","유체이탈자","2021-11-24","7899580790","0.048","811169","1216","83847","한국","한국","주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트"
"8","기적","2021-09-15","6634949710","0.040999999999999995","715877","1198","78592","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"9","연애 빠진 로맨스","2021-11-24","6120461000","0.037000000000000005","603015","967","66729","한국","한국","(주)씨제이이엔엠"
"10","장르만 로맨스","2021-11-17","5192955940","0.032","518441","1194","49322","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"11","미션 파서블","2021-02-17","4064666600","0.025","447111","930","45091","한국","한국","(주)메리크리스마스"
"12","비와 당신의 이야기","2021-04-28","3646657350","0.022000000000000002","400958","957","44038","한국","한국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
"13","서복","2021-04-15","3628177450","0.022000000000000002","385409","1382","49517","한국","한국","(주)씨제이이엔엠"
"14","자산어보","2021-03-31","3016006790","0.018000000000000002","342538","1250","50695","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"15","내일의 기억","2021-04-21","3036236660","0.019","335025","957","41477","한국","한국","(주)아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)(주)"
"16","강릉","2021-11-10","3172047770","0.019","306422","761","28494","한국","한국","(주)스튜디오 산타클로스엔터테인먼트,(주)아센디오,(주)제이앤씨미디어그룹"
"17","방법: 재차의","2021-07-28","1556061010","0.01","175578","838","19136","한국","한국","(주)씨제이이엔엠"
"18","새해전야","2021-02-10","1571840850","0.01","171451","906","21525","한국","한국","(주)에이스메이커무비웍스"
"19","파이프라인","2021-05-26","1216420450","0.006999999999999999","139818","777","20598","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트,(주)리틀빅픽쳐스"
"20","해피 뉴 이어","2021-12-29","1011453370","0.0060","114046","832","6930","한국","한국","(주)씨제이이엔엠,주식회사 티빙"
"21","미드나이트","2021-06-30","941510870","0.0060","108523","693","15308","한국","한국","씨제이 씨지브이(CJ CGV)(주)"
"22","여고괴담 여섯번째 이야기 : 모교","2021-06-17","860569700","0.0050","94412","603","13240","한국","한국","(주)케이티알파,씨제이 씨지브이(CJ CGV)(주)"
"23","귀문","2021-08-25","799811070","0.0050","93657","692","11269","한국","한국","씨제이 씨지브이(CJ CGV)(주),(주)씨네필운"
