"순위","영화명","개봉일","매출액","매출액 점유율","관객수","스크린수","상영횟수","대표국적","국적","배급사"
"1","남산의 부장들","2020-01-22","41225216650","0.12","4750345","1659","140051","한국","한국","(주)쇼박스"
"2","다만 악에서 구하소서","2020-08-05","38602260990","0.11199999999999999","4357803","1998","193842","한국","한국","(주)씨제이이엔엠"
"3","반도","2020-07-15","33072531280","0.096","3812250","2575","199048","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"4","히트맨","2020-01-22","20614278000","0.06","2406232","1122","87782","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"5","백두산","2019-12-19","16921016530","0.049","1962407","1241","74413","한국","한국","(주)씨제이이엔엠,(주)덱스터스튜디오"
"6","#살아있다","2020-06-24","15968219900","0.046","1903992","1882","137073","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"7","강철비2: 정상회담","2020-07-29","14661646110","0.043","1791533","2137","106658","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"8","담보","2020-09-29","14748867550","0.043","1719521","1342","110260","한국","한국","(주)씨제이이엔엠"
"9","삼진그룹 영어토익반","2020-10-21","13981414470","0.040999999999999995","1571286","1615","139275","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"10","정직한 후보","2020-02-12","12854297030","0.037000000000000005","1538038","1187","89425","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"11","도굴","2020-11-04","13764680410","0.04","1523514","1635","133284","한국","한국","(주)씨제이이엔엠"
"12","클로젯","2020-02-05","10971962280","0.032","1270835","1197","71453","한국","한국","(주)씨제이이엔엠"
"13","오케이 마담","2020-08-12","10981600110","0.032","1228968","1288","82969","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"14","해치지않아","2020-01-15","10154099090","0.028999999999999998","1209689","1216","53441","한국","한국","(주)에이스메이커무비웍스"
"15","천문: 하늘에 묻는다","2019-12-26","8695248070","0.025","1035024","929","43246","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"16","결백","2020-06-10","7859629340","0.023","894025","1112","74532","한국","한국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
"17","시동","2019-12-18","6876716560","0.02","792493","825","34835","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"18","지푸라기라도 잡고 싶은 짐승들","2020-02-19","5457014750","0.016","628977","996","65645","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"19","미스터 주: 사라진 VIP","2020-01-22","5071671660","0.015","603203","692","28187","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트,(주)리틀빅픽쳐스"
"20","국제수사","2020-09-29","4496603760","0.013000000000000001","537470","1074","41108","한국","한국","(주)쇼박스"
"21","침입자","2020-06-04","4810611000","0.013999999999999999","532045","1365","53636","한국","한국","(주)에이스메이커무비웍스"
"22","이웃사촌","2020-11-25","3647897960","0.011000000000000001","424764","1363","65450","한국","한국","(주)리틀빅픽쳐스,(주)트리니티픽쳐스"
"23","소리도 없이","2020-10-15","3558905900","0.01","403424","1084","41127","한국","한국","(주)에이스메이커무비웍스"
"24","오! 문희","2020-09-02","2802734600","0.0080","351730","1110","52239","한국","한국","CGV아트하우스"
"25","내가 죽던 날","2020-11-12","2135396020","0.0060","233112","909","29390","한국","한국","워너브러더스 코리아(주)"
"26","기생충","2019-05-30","1576539450","0.0050","227870","456","13536","한국","한국","(주)씨제이이엔엠"
"27","신비아파트 극장판 하늘도깨비 대 요르문간드","2019-12-19","1757416340","0.0050","222234","539","8629","한국","한국","(주)씨제이이엔엠"
"28","검객","2020-09-23","1619781870","0.0050","190237","832","21595","한국","한국","(주)키위미디어그룹,오퍼스픽쳐스(유),(주)씨네필운"
"29","조제","2020-12-10","1673427570","0.0050","186647","1179","38291","한국","한국","워너브러더스 코리아(주)"
"30","사라진 시간","2020-06-18","1652522580","0.0050","185802","874","20790","한국","한국","(주)에이스메이커무비웍스"
"31","미스터트롯: 더 무비","2020-10-22","1288696100","0.0040","150090","449","15980","한국","한국","(주)영화사 그램"
"32","브레이크 더 사일런스: 더 무비","2020-09-24","1160249000","0.0030","131693","205","10604","한국","한국","씨지브이 아이스콘"
"33","디바","2020-09-23","901717350","0.0030","108122","831","18923","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"34","죽지않는 인간들의 밤","2020-09-29","852639440","0.0020","104034","570","12667","한국","한국","TCO(주)더콘텐츠온"
"35","저 산 너머","2020-04-30","772685300","0.0020","103534","468","13037","한국","한국","(주)리틀빅픽쳐스"
"36","그대, 고맙소 : 김호중 생애 첫 팬미팅 무비","2020-09-29","3129974000","0.009000000000000001","102008","106","4771","한국","한국","씨제이포디플렉스 주식회사"
"37","소리꾼","2020-07-01","670872680","0.0020","82600","573","13997","한국","한국","(주)리틀빅픽쳐스"
"38","극장판 미니특공대: 공룡왕 디노","2020-02-06","620860720","0.0020","79772","485","6333","한국","한국","(주)리틀빅픽쳐스"
"39","극장판 미니특공대: 햄버거괴물의 습격","2020-09-30","465849080","0.0010","57857","414","5084","한국","한국","(주)리틀빅픽쳐스"
"40","아이즈 온 미 : 더 무비","2020-06-10","510943000","0.0010","39719","124","2379","한국","한국","씨제이포디플렉스 주식회사"
"41","다만 악에서 구하소서 파이널컷","2020-10-28","326106570","0.0010","37961","475","7521","한국","한국","(주)씨제이이엔엠"
"42","강철비2 : 정상회담 확장판","2020-09-30","89922500","0.0","18306","126","1672","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"43","핑크퐁 시네마 콘서트 : 우주대탐험","2020-01-30","136546000","0.0","17520","178","2391","한국","한국","더핑크퐁컴퍼니(주)"
"44","부활","2020-07-09","113296500","0.0","14537","83","2019","한국","한국","(주)중헌홀딩스"
"45","요가학원 : 죽음의 쿤달리니","2020-11-18","79973140","0.0","9128","267","2248","한국","한국","(주)스마일이엔티"
"46","동감","2000-05-27","40621500","0.0","5152","108","1618","한국","한국","(주)제이앤씨미디어그룹,와이드 릴리즈(주)"
"47","불한당: 나쁜 놈들의 세상","2017-05-17","25501500","0.0","4791","59","683","한국","한국","(주)씨제이이엔엠"
"48","살인의 추억","2003-04-25","24549640","0.0","4711","99","1334","한국","한국","씨제이엔터테인먼트"
"49","신세계","2013-02-21","27126680","0.0","4590","110","981","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"50","부산행:익스텐디드","2020-07-01","32808500","0.0","4117","88","1012","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"51","매지컬: 공주를 웃겨라","2020-09-17","31809670","0.0","4077","220","1030","한국","한국","(주)에이원엔터테인먼트"
"52","레드슈즈","2019-07-25","15876000","0.0","3081","99","495","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"53","용루각: 비정도시","2020-12-03","18522210","0.0","3038","22","311","한국","한국","(주)드림팩트엔터테인먼트"
"54","런 보이 런","2020-05-28","20893740","0.0","2956","25","307","한국","한국","(주)라온컴퍼니플러스"
"55","공수도","2020-04-09","25089500","0.0","2950","79","900","한국","한국","(주)그노스"
"56","열혈형사","2020-06-18","20539960","0.0","2492","121","740","한국","한국","(주)제이앤씨미디어그룹"
"57","피원에이치 : 새로운 세계의 시작","2020-10-08","21109200","0.0","2284","87","845","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"58","제인의 썸머","2020-06-18","12575500","0.0","2182","43","181","한국","한국","(주)키다리이엔티,(주)스마일이엔티"
"59","부당거래","2010-10-28","10535000","0.0","2087","47","523","한국","한국","씨제이엔터테인먼트"
"60","브링 더 소울 : 더 무비","2019-08-07","18721500","0.0","2023","33","415","한국","한국","씨지브이 아이스콘,월트디즈니컴퍼니코리아 유한책임회사"
"61","태백권","2020-08-20","14307800","0.0","2018","62","483","한국","한국","(주)드림팩트엔터테인먼트"
"62","미스터 보스","2020-12-30","14711600","0.0","1954","226","516","한국","한국","(주)스톰픽쳐스코리아,와이드 릴리즈(주)"
"63","공포체험라디오 4DX","2020-09-16","16604000","0.0","1794","37","411","한국","한국","씨지브이 아이스콘,씨제이포디플렉스 주식회사"
"64","프리즈너","2020-07-23","13642360","0.0","1681","49","433","한국","한국","(주)박수엔터테인먼트"
"65","얼굴없는 보스: 못다한 이야기 감독판","2020-05-13","12157200","0.0","1662","50","517","한국","한국","(주)박수엔터테인먼트"
"66","신의 한 수: 귀수편","2019-11-07","16440000","0.0","1644","6","11","한국","한국","(주)씨제이이엔엠"
"67","설국열차","2013-08-01","8177800","0.0","1351","26","437","한국","한국,체코","(주)씨제이이엔엠"
"68","두번할까요","2019-10-17","13310000","0.0","1331","5","5","한국","한국","(주)리틀빅픽쳐스"
"69","리틀 포레스트","2018-02-28","7026000","0.0","1274","47","493","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"70","블랙머니","2019-11-13","8275000","0.0","1181","5","39","한국","한국","(주)에이스메이커무비웍스"
"71","원더풀 데이즈","2003-07-17","10661270","0.0","1150","58","330","한국","한국","(주)에이원엔터테인먼트,아우라엔터테인먼트"
"72","극장판 헬로카봇 : 백악기 시대","2018-08-01","5573000","0.0","1094","67","265","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"73","아르코라이브 뮤지컬 안테모사","2020-03-25","12059500","0.0","1016","16","222","한국","한국","(주)아이디어랩"
"74","사냥의 시간","","8438580","0.0","994","9","27","한국","한국",""
"75","비트","1997-05-03","4959500","0.0","988","41","364","한국","한국","(주)싸이더스"
"76","82년생 김지영","2019-10-23","8017000","0.0","946","3","22","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"77","뽀로로 극장판 보물섬 대모험","2019-04-25","4528500","0.0","896","42","185","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"78","SIFF2020 페스티벌 초이스 단편 쇼케이스 1","","5824000","0.0","832","2","6","한국","한국",""
"79","SIFF2020 본선 단편경쟁 1","","5732000","0.0","818","3","7","한국","한국",""
"80","이별유예, 일주일","2020-12-09","7586000","0.0","779","29","306","한국","한국","(주)유어스토리블루"
"81","얼굴없는 보스","2019-11-21","7655000","0.0","762","4","27","한국","한국","(주)박수엔터테인먼트"
"82","SIFF2020 페스티벌 초이스 단편 쇼케이스 2","","5131000","0.0","733","2","5","한국","한국",""
"83","극한직업","2019-01-23","3698000","0.0","720","33","232","한국","한국","(주)씨제이이엔엠"
"84","극장판 헬로카봇 : 달나라를 구해줘!","2019-09-04","4901500","0.0","693","52","173","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"85","2020 청주영상위원회 '영화와 함께하는 11월' 관객과의 대화[GV]","","3400000","0.0","680","1","5","한국","한국",""
"86","SIFF2020 새로운선택 단편 1","","4543000","0.0","649","1","6","한국","한국",""
"87","SIFF2020 본선 단편경쟁 3","","4219000","0.0","603","2","5","한국","한국",""
"88","인디애니페스트2020 새벽비행1","","3603000","0.0","601","2","8","한국","한국",""
"89","사당동 더하기 33","","3023000","0.0","576","1","8","한국","한국",""
