"순위","영화명","개봉일","매출액","매출액 점유율","관객수","스크린수","상영횟수","대표국적","국적","배급사"
"1","신과함께-인과 연","2018-08-01","102666146909","0.114","12274996","2235","179981","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"2","신과함께-죄와 벌","2017-12-20","47355583705","0.052000000000000005","5872007","1644","121961","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"3","안시성","2018-09-19","46335334026","0.051","5440186","1540","110439","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"4","완벽한 타인","2018-10-31","44350807074","0.049","5293435","1325","143055","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"5","1987","2017-12-27","42915772108","0.048","5290310","1122","110607","한국","한국","(주)씨제이이엔엠"
"6","독전","2018-05-22","43485551113","0.048","5063684","1532","140007","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"7","공작","2018-08-08","42788851176","0.047","4974520","1317","99001","한국","한국","(주)씨제이이엔엠"
"8","암수살인","2018-10-03","32995138548","0.037000000000000005","3789321","1177","126127","한국","한국","(주)쇼박스"
"9","국가부도의 날","2018-11-28","30845862137","0.034","3747952","1180","100804","한국","한국","(주)씨제이이엔엠"
"10","그것만이 내 세상","2018-01-17","27450805382","0.03","3419339","956","95431","한국","한국","(주)씨제이이엔엠"
"11","마녀","2018-06-27","27242029463","0.03","3189091","1117","90843","한국","한국","워너브러더스 코리아(주)"
"12","탐정: 리턴즈","2018-06-13","26909459678","0.03","3152872","1137","107907","한국","한국","(주)씨제이이엔엠"
"13","너의 결혼식","2018-08-22","23676244369","0.026000000000000002","2820969","970","98193","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"14","곤지암","2018-03-28","21442194144","0.024","2675575","1124","88477","한국","한국","(주)쇼박스,씨제이포디플렉스 주식회사"
"15","지금 만나러 갑니다","2018-03-14","20800916128","0.023","2602273","1191","97482","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
