"순위","영화명","개봉일","매출액","매출액 점유율","관객수","스크린수","상영횟수","대표국적","국적","배급사"
"1","부산행","2016-07-20","93178283048","0.102","11565479","1788","151315","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"2","검사외전","2016-02-03","77320403264","0.085","9707581","1812","153532","한국","한국","(주)쇼박스"
"3","밀정","2016-09-07","61269783831","0.067","7500420","1444","138161","한국","한국,미국","워너브러더스 코리아(주)"
"4","터널","2016-08-10","57529484417","0.063","7120508","1105","113201","한국","한국","(주)쇼박스"
"5","인천상륙작전","2016-07-27","55101410303","0.06","7049643","1049","97019","한국","한국","(주)씨제이이엔엠"
"6","럭키","2016-10-13","56444461256","0.062","6975290","1234","155977","한국","한국","(주)쇼박스"
"7","곡성","2016-05-12","55863520382","0.061","6879908","1485","130322","한국","한국,미국","이십세기폭스코리아(주)"
"8","덕혜옹주","2016-08-03","44393459109","0.049","5599177","964","97307","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"9","마스터","2016-12-21","39784641065","0.044000000000000004","4935320","1501","70786","한국","한국","(주)씨제이이엔엠"
"10","판도라","2016-12-07","33955398164","0.037000000000000005","4313864","1184","90758","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"11","아가씨","2016-06-01","35211229991","0.039","4287839","1171","90365","한국","한국","(주)씨제이이엔엠"
"12","귀향","2016-02-24","27249738990","0.03","3587173","876","90286","한국","한국","(주)와우픽쳐스"
"13","형","2016-11-23","23113768293","0.025","2979659","993","83518","한국","한국","(주)씨제이이엔엠"
"14","히말라야","2015-12-16","20705587567","0.023","2630352","955","61673","한국","한국","(주)씨제이이엔엠"
"15","아수라","2016-09-28","20576226662","0.023","2594028","1278","68040","한국","한국","(주)씨제이이엔엠"
"16","굿바이 싱글","2016-06-29","16912706195","0.019","2108273","841","56380","한국","한국","(주)쇼박스"
"17","봉이 김선달","2016-07-06","16227052642","0.018000000000000002","2051277","942","51418","한국","한국","(주)씨제이이엔엠"
"18","내부자들: 디 오리지널","2015-12-31","15742927260","0.017","1924720","838","45697","한국","한국","(주)쇼박스"
"19","탐정 홍길동: 사라진 마을","2016-05-04","11516170845","0.013000000000000001","1430885","764","41076","한국","한국","(주)씨제이이엔엠"
"20","특별수사: 사형수의 편지","2016-06-16","9929947065","0.011000000000000001","1241899","691","39372","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"21","시간이탈자","2016-04-13","9731838195","0.011000000000000001","1202384","733","55075","한국","한국","(주)씨제이이엔엠"
"22","동주","2016-02-17","8889077089","0.01","1172641","543","39958","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"23","미씽: 사라진 여자","2016-11-30","8881616256","0.01","1153109","790","40617","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"24","당신, 거기 있어줄래요","2016-12-14","8999085248","0.01","1124815","767","39181","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"25","오빠생각","2016-01-21","8060591287","0.009000000000000001","1069864","855","44801","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"26","날, 보러와요","2016-04-07","8836144063","0.01","1063442","683","49237","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"27","고산자, 대동여지도","2016-09-07","7801007258","0.009000000000000001","974262","765","38048","한국","한국","(주)씨제이이엔엠"
"28","좋아해줘","2016-02-17","6572774337","0.006999999999999999","848148","637","27125","한국","한국","(주)씨제이이엔엠"
"29","스플릿","2016-11-09","6102712539","0.006999999999999999","758195","702","32616","한국","한국","오퍼스픽쳐스(유)"
"30","국가대표 2","2016-08-10","5482232042","0.0060","709929","562","20689","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"31","그날의 분위기","2016-01-14","5149571612","0.0060","653287","592","27186","한국","한국","(주)쇼박스"
"32","사냥","2016-06-29","4912658515","0.0050","645922","696","28862","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"33","널 기다리며","2016-03-10","5234303336","0.0060","635235","551","33774","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"34","가려진 시간","2016-11-16","3946462400","0.0040","510878","884","30404","한국","한국","(주)쇼박스"
"35","해어화","2016-04-13","3768200759","0.0040","485695","572","32322","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"36","계춘할망","2016-05-19","3600794348","0.0040","482516","526","19644","한국","한국","(주)콘텐츠지오"
"37","로봇, 소리","2016-01-27","3519595560","0.0040","476665","609","25502","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"38","나를 잊지 말아요","2016-01-07","3398915000","0.0040","425799","559","19138","한국","한국","(주)씨제이이엔엠"
"39","조선마술사","2015-12-30","3143566733","0.0030","403919","608","13708","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"40","위대한 소원","2016-04-21","2440004213","0.0030","308398","524","22769","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"41","혼숨","2016-10-26","2258422445","0.0020","288016","498","14510","한국","한국","(주)프레인글로벌"
"42","극장판 안녕 자두야","2016-05-04","2137638000","0.0020","280406","523","7758","한국","한국","(주)씨제이이엔엠"
"43","비밀은 없다","2016-06-23","2029410239","0.0020","250829","502","14749","한국","한국","(주)씨제이이엔엠"
"44","순정","2016-02-24","1738293033","0.0020","240484","467","10545","한국","한국","(주)리틀빅픽쳐스"
"45","남과 여","2016-02-25","1651122533","0.0020","203775","449","9790","한국","한국","(주)쇼박스"
"46","대호","2015-12-16","1385096300","0.0020","178574","409","5222","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"47","대배우","2016-03-30","1246200228","0.0010","169984","474","16517","한국","한국","(주)대명문화공장,(주)리틀빅픽쳐스"
"48","달빛궁궐","2016-09-07","1147863700","0.0010","153097","425","6067","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"49","극장판 꼬마버스 타요의 에이스 구출작전","2016-01-21","905899900","0.0010","135398","200","5395","한국","한국","(주)아이코닉스"
"50","최강전사 미니특공대: 영웅의 탄생","2016-02-04","877875200","0.0010","117170","349","4863","한국","한국","(주)에스에이엠지엔터테인먼트"
