"순위","영화명","개봉일","매출액","매출액 점유율","관객수","스크린수","상영횟수","대표국적","국적","배급사"
"1","서울의 봄","2023-11-22","115350491410","0.196","11854779","2463","292299","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"2","범죄도시3","2023-05-31","104687737771","0.17800000000000002","10682813","2582","311915","한국","한국","주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트"
"3","밀수","2023-07-26","49685009003","0.084","5143219","1932","167669","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"4","콘크리트 유토피아","2023-08-09","37412802232","0.064","3849242","1731","150918","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"5","노량: 죽음의 바다","2023-12-20","34032608940","0.057999999999999996","3438133","2196","81643","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스"
"6","30일","2023-10-03","21256881514","0.036000000000000004","2165358","1226","130509","한국","한국","(주)마인드마크"
"7","천박사 퇴마 연구소: 설경의 비밀","2023-09-27","18635492555","0.032","1916429","1511","98823","한국","한국","(주)씨제이이엔엠"
"8","영웅","2022-12-21","17768606427","0.03","1787536","1099","88177","한국","한국","(주)씨제이이엔엠"
"9","교섭","2023-01-18","17460908740","0.03","1721100","1289","92618","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"10","잠","2023-09-06","13894258933","0.024","1470359","1231","103697","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"11","달짝지근해: 7510","2023-08-15","13445519901","0.023","1388309","1032","86601","한국","한국","(주)마인드마크"
"12","드림","2023-04-26","10821044597","0.018000000000000002","1128375","1285","61736","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"13","비공식작전","2023-08-02","10192841216","0.017","1058745","1151","45082","한국","한국","(주)쇼박스"
"14","1947 보스톤","2023-09-27","9464132798","0.016","1026878","1282","63548","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트"
"15","대외비","2023-03-01","7469378721","0.013000000000000001","756355","1157","53616","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"16","리바운드","2023-04-05","6702452348","0.011000000000000001","699243","1154","56697","한국","한국","(주)바른손이앤에이"
"17","귀공자","2023-06-21","6704211465","0.011000000000000001","682856","966","44887","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"18","유령","2023-01-18","6760765879","0.011000000000000001","664146","1099","46961","한국","한국","(주)씨제이이엔엠"
"19","더 문","2023-08-02","5207712778","0.009000000000000001","516556","1187","30181","한국","한국","(주)씨제이이엔엠"
"20","3일의 휴가","2023-12-06","4835070689","0.0080","514541","863","31547","한국","한국","(주)쇼박스"
"21","소년들","2023-11-01","4470423586","0.0080","471425","1042","43356","한국","한국","(주)씨제이이엔엠"
"22","타겟","2023-08-30","4003424694","0.006999999999999999","424916","986","43332","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"23","싱글 인 서울","2023-11-29","3738633028","0.0060","399575","917","32523","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"24","스위치","2023-01-04","3794475810","0.0060","399269","912","36963","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"25","카운트","2023-02-22","3783714091","0.0060","398442","946","37254","한국","한국","(주)씨제이이엔엠"
"26","뽀로로 극장판 슈퍼스타 대모험","2023-12-13","2933239296","0.0050","321190","850","13576","한국","한국","씨제이 씨지브이(CJ CGV)(주)"
"27","웅남이","2023-03-22","2868959071","0.0050","314241","829","36060","한국","한국","씨제이 씨지브이(CJ CGV)(주)"
"28","거미집","2023-09-27","3003379576","0.0050","313686","1058","27130","한국","한국","(주)바른손이앤에이"
"29","용감한 시민","2023-10-25","2445021472","0.0040","266816","887","30438","한국","한국","(주)마인드마크"
"30","화란","2023-10-11","2515803090","0.0040","264050","976","35554","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"31","옥수역귀신","2023-04-19","2744049700","0.0050","256520","314","13683","한국","한국,일본","(주)스마일이엔티"
"32","아임 히어로 더 파이널","2023-03-01","6059713000","0.01","250702","146","8897","한국","한국","씨제이포디플렉스 주식회사,씨지브이 아이스콘"
"33","소울메이트","2023-03-15","2268064069","0.0040","234775","749","28260","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"34","멍뭉이","2023-03-01","1832643386","0.0030","196529","649","15443","한국","한국","(주)키다리스튜디오"
"35","킬링 로맨스","2023-04-14","1833415642","0.0030","191650","998","26101","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"36","가문의 영광: 리턴즈","2023-09-21","1608459160","0.0030","167878","823","20003","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"37","마루이 비디오","2023-02-22","1705521500","0.0030","165892","284","8962","한국","한국","씨제이 씨지브이(CJ CGV)(주),(주)케이티알파"
"38","극장판 슈퍼윙스: 맥시멈 스피드","2023-07-20","1192070958","0.0020","135976","407","6202","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"39","보호자","2023-08-15","1238963700","0.0020","128534","685","11004","한국","한국","(주)에이스메이커무비웍스"
