"순위","영화명","개봉일","매출액","매출액 점유율","관객수","스크린수","상영횟수","대표국적","국적","배급사"
"1","범죄도시2","2022-05-18","131297440478","0.212","12693302","2521","355767","한국","한국","주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트"
"2","한산: 용의 출현","2022-07-27","73700628377","0.11900000000000001","7264934","2223","217713","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"3","공조2: 인터내셔날","2022-09-07","70916352586","0.114","6982840","2389","275814","한국","한국","(주)씨제이이엔엠"
"4","헌트","2022-08-10","44600858153","0.07200000000000001","4352390","1625","170963","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"5","올빼미","2022-11-23","31769067550","0.051","3222767","1541","142130","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"6","마녀(魔女) Part2. The Other One","2022-06-15","28922488670","0.047","2806501","1796","94940","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"7","비상선언","2022-08-03","20927363328","0.034","2058869","1734","73045","한국","한국","(주)쇼박스"
"8","육사오(6/45)","2022-08-24","19791166880","0.032","1980769","1339","105933","한국","한국","(주)홈초이스,(주)싸이더스"
"9","헤어질 결심","2022-06-29","19642291589","0.032","1893954","1374","79620","한국","한국","(주)씨제이이엔엠"
"10","외계+인 1부","2022-07-20","15995553548","0.026000000000000002","1539362","1959","68414","한국","한국","(주)씨제이이엔엠"
"11","영웅","2022-12-21","14534225323","0.023","1487679","1314","45482","한국","한국","(주)씨제이이엔엠"
"12","해적: 도깨비 깃발","2022-01-26","12523963990","0.02","1339242","1708","117320","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"13","브로커","2022-06-08","12586786030","0.02","1261131","1594","66203","한국","한국","(주)씨제이이엔엠"
"14","인생은 아름다워","2022-09-28","10898038019","0.018000000000000002","1171602","1285","106970","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"15","데시벨","2022-11-16","8846169146","0.013999999999999999","900654","1152","55336","한국","한국","(주)마인드마크"
"16","정직한 후보2","2022-09-28","8446139162","0.013999999999999999","899684","1318","77220","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"17","킹메이커","2022-01-26","7318959610","0.012","775968","1185","80072","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"18","자백","2022-10-26","7352559230","0.012","738120","1115","78568","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"
"19","경관의 피","2022-01-05","6687389520","0.011000000000000001","679503","1187","57409","한국","한국","(주)에이스메이커무비웍스"
"20","압꾸정","2022-11-30","5722751661","0.009000000000000001","608197","1229","47408","한국","한국","(주)쇼박스"
"21","이상한 나라의 수학자","2022-03-09","5045184520","0.0080","534287","1357","72424","한국","한국","(주)쇼박스"
"22","동감","2022-11-16","4755257700","0.0080","490145","1013","37451","한국","한국","씨제이 씨지브이(CJ CGV)(주)"
"23","늑대사냥","2022-09-21","4769650393","0.0080","458720","1226","39242","한국","한국","TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)"
