"영화코드","영화명","개봉일","장르","관람등급","감독","제작사","배급사","국적"
"20241102","홍이","20250924","드라마","12세이상관람가","황슬기","(주)세모시","에무 시네마 앤 카페","한국"
"20250282","환승연애-너 말고 니 친구 무삭제판","20251226","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","이타치","(주)파랑새미디어","(주)영진크리에이티브","한국"
"20250418","금단의 사랑 : 형수, 처제, 제수씨","20251223","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20250088","오르가즘 느끼는 육덕진 새엄마","20251218","성인물(에로)","청소년관람불가","성기만","스마일컨텐츠","스마일컨텐츠","한국"
"20250417","엄마들 : 그녀들의 터질듯한 몸매","20251217","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20256321","새엄마가 된 친구엄마","20251217","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20259955","교환섹스 : 발정난 사장아내","20251211","성인물(에로)","청소년관람불가","천성준","에이원 미디어","에이원 미디어","한국"
"20259126","오늘 밤, 너 혼쭐내줄게","20251210","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20259128","여자가 섹스의 맛을 느낄때","20251210","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20256189","처제의 맛 2","20251201","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
"20244265","청와대 건너 붉은 벽돌집","20251224","다큐멘터리","12세이상관람가","안소연","","(주)드림팩트엔터테인먼트","한국"
"20213014","영생인","20251224","미스터리|스릴러","15세이상관람가","김상훈","라이픽쳐스","(주)픽처하우스","한국"
"20258374","스와핑 - 첫경험","20251201","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
"20256248","구멍일기","20251201","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
"20241909","이름에게","20251030","드라마|가족","전체관람가","윤권수","(주)스튜디오메타케이","(주)스튜디오메타케이","한국"
"20250009","오프 더 리포터","20251219","성인물(에로)|드라마","청소년관람불가","선우용","(주)룬컴퍼니","(주)룬컴퍼니","한국"
"20259993","경매의신 ep6 케렌시아","20251219","성인물(에로)|드라마","청소년관람불가","","(주)룬컴퍼니","(주)룬컴퍼니","한국"
"20259035","투 헤븐","20251105","다큐멘터리","전체관람가","김상철","파이오니아21","파이오니아21","한국"
"20246110","고백하지마","20251217","드라마","12세이상관람가","류현경","류네|김충길 필름","류네","한국"
"20253852","퍼스트 라이드","20251029","코미디|드라마","12세이상관람가","남대중","주식회사 브레인샤워|주식회사 티에이치스토리(TH STORY)","(주)쇼박스","한국"
"20250364","이머시브 시네마: 뽀로로 극장판 스위트캐슬 대모험","20251213","애니메이션","전체관람가","천유림","(주)오콘","롯데컬처웍스(주)롯데엔터테인먼트","한국"
"20259133","죽여주는 불륜현장:질 좋은 여자들","20251212","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","이타치","(주)파랑새미디어","(주)영진크리에이티브","한국"
"20250024","블루 아카이브 : 디 오케스트라 인 시네마","20251212","공연","15세이상관람가","조윤수","(주)영화사 그램","롯데컬처웍스(주)롯시플|(주)영화사 그램","한국"
"20258808","뽀로로 극장판 스위트캐슬 대모험","20251211","애니메이션","전체관람가","천유림","(주)오콘","롯데컬처웍스(주)롯데엔터테인먼트|롯데컬처웍스(주)롯데시네마","한국"
"20234689","괜찮아 괜찮아 괜찮아!","20250226","가족|코미디|드라마","12세이상관람가","김혜영","주식회사 투맨필름","(주)바이포엠스튜디오","한국"
"20255489","허들","20251203","드라마","15세이상관람가","한상욱","(주)네모콘텐츠","(주)스튜디오 산타클로스엔터테인먼트","한국"
"20244683","세하별","20250625","가족|드라마","15세이상관람가","김우석","(주)도토리","(주)트리플픽쳐스","한국"
"20259829","홍어의 역습","20251210","코미디","12세이상관람가","이수성","㈜리필름","시네마 뉴원","한국"
"20258343","파과: 인터내셔널 컷","20251210","액션|드라마|미스터리","청소년관람불가","민규동","(주)수필름","(주)넥스트엔터테인먼트월드(NEW)","한국"
"20232261","2035: 더 그린라이트","20250604","미스터리|스릴러","15세이상관람가","박재인","어퍼컷픽쳐스","유한회사 영화사 반딧불","한국"
"20259618","콘크리트 마켓","20251203","드라마","15세이상관람가","홍기원","클라이맥스 스튜디오(주)|(주)앤드마크","롯데컬처웍스(주)롯데엔터테인먼트","한국"
"20250004","좁고 따뜻한 아마추어","20251206","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20259990","쉽게 봇물 터지는 육덕 여동생","20251206","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20259991","몸이 뜨거운 여동생의 유혹","20251205","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20250007","내 애인이 된 상사의 아내","20251205","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20259595","에이티즈 브이알 콘서트 : 라이트 더 웨이","20251205","공연","전체관람가","김지애","(주)어메이즈브이알코리아","(주)어메이즈브이알코리아","한국"
"20254722","신명","20250602","드라마|미스터리","15세이상관람가","","(주)열공영화제작소","(주)열공영화제작소|(주)스마일이엔티|주식회사 블루필름웍스","한국"
"20245452","넌센스","20251126","스릴러|드라마","15세이상관람가","이제희","한국영화아카데미","(주)스튜디오 산타클로스엔터테인먼트","한국"
"20250005","음란한 접대에 빠진 미스 최","20251204","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20250006","다른 여자에게 흥분한 내 남친","20251204","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20245485","귀시","20250917","공포(호러)","15세이상관람가","홍원기","(주)제리굿컴퍼니|쟈니브로스(주)","(주)바이포엠스튜디오|(주)제리굿컴퍼니","한국"
"20223819","말할 수 없는 비밀","20250127","판타지|멜로/로맨스","전체관람가","서유민","(주)하이브미디어코프","메가박스중앙(주) 플러스엠 엔터테인먼트","한국"
"20259136","하숙집 딸은 맛있다-상상하면 벗는다 무삭제판","20251128","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","이타치","(주)파랑새미디어","(주)영진크리에이티브","한국"
"20259148","핑크조개 : 오늘은 반드시 먹고 만다","20251126","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20259127","섹스 잘하는 커플들","20251119","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20259895","여자교도관의 비밀 접견","20251117","성인물(에로)","청소년관람불가","","유한회사 영화사 반딧불","유한회사 영화사 반딧불","한국"
"20259077","자기야 빨리 넣어줘","20251112","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20256069","섹스과외 : 처제, 새엄마, 친구엄마","20251112","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20254938","종이 울리는 순간","20251112","다큐멘터리","전체관람가","코메일 소헤일리|김주영","유랑필름","(주)시네마달","한국"
"20258780","힘","20251127","액션|드라마","15세이상관람가","최지온","액츠픽처스","시네마 뉴원","한국"
"20257996","누군가의 꿈","20251127","다큐멘터리","12세이상관람가","이로운","허슬킹픽쳐스","(주)스튜디오디에이치엘","한국"
"20236494","초콜릿","20251119","드라마","15세이상관람가","양지은","양지은 Film|도야 영화","명필름랩","한국"
"20258310","젊은 부부 취향껏 바꿔넣기","20251107","성인물(에로)","청소년관람불가","","(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","한국"
"20242374","한란","20251126","드라마","12세이상관람가","하명미","웬에버스튜디오","(주)트리플픽쳐스","한국"
"20227521","동에 번쩍 서에 번쩍","20251126","드라마","12세이상관람가","이광국","영화사 벽돌","그린나래미디어(주)","한국"
"20256902","친구엄마 길들이기","20251105","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20259078","떡정 : 남녀사이 가장 중요한 것","20251105","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20258029","나는 야한 여자다","20251105","드라마","청소년관람불가","","","(주)제이앤씨미디어그룹","한국"
"20249410","통잠","20251119","가족|드라마","15세이상관람가","이도진|김솔해","(주)타이거시네마","필름다빈","한국"
"20258965","맛있는 불륜 오피스 레이디","20251114","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","선우용","(주)룬컴퍼니","(주)룬컴퍼니","한국"
"20259225","포레스텔라 : 더 웨이브 인 시네마","20251119","공연","전체관람가","김한솔","","(주)엘지유플러스|(주)씨네필운","한국"
"20253249","맨홀","20251119","드라마","15세이상관람가|15세이상관람가","한지수","(주)영화사레드피터","(주)마노엔터테인먼트","한국"
"20247450","검은 수녀들","20250124","미스터리|드라마","15세이상관람가","권혁재","영화사 집","(주)넥스트엔터테인먼트월드(NEW)","한국"
"20258570","극장판 똘똘이: 아기공룡의 비밀","20251107","애니메이션","전체관람가","최영진","(주)크레이지버드스튜디오","(주)크레이지버드스튜디오","한국"
"20258311","엄마를 버리러 갑니다","20251105","드라마","12세이상관람가","모홍진","모티브픽쳐스(주)","(주)싸이더스","한국|베트남"
"20259465","러비타 퍼스트 팬 콘서트 <어웨이크닝>","20251115","공연","전체관람가","","","씨제이포디플렉스 주식회사","한국"
"20258269","몇 번을 채워도 모자란 깊은구멍 무삭제판","20251114","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","이타치","(주)파랑새미디어","(주)영진크리에이티브","한국"
"20258280","난교:떡치는 사람들","20251114","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","이타치","(주)파랑새미디어","(주)영진크리에이티브","한국"
"20259029","경매의 신 ep5 낙찰의 꽃","20251114","성인물(에로)|범죄|드라마","청소년관람불가","","(주)룬컴퍼니","(주)룬컴퍼니","한국"
"20224342","직지루트; 테라 인코그니타","20251112","다큐멘터리","전체관람가","우광훈","(주)아우라픽처스|영화사 샘(주)","와이드 릴리즈(주)","한국"
"20224303","귀신경찰","20250124","코미디","12세이상관람가","김영준","HJ필름","(주)제이앤씨미디어그룹|와이드 릴리즈(주)","한국"
"20226821","구름이하는말","20251105","드라마","15세이상관람가","장태구","칸따삐아필름","영화배급협동조합 씨네소파","한국"
"20235765","최초의 기억","20251112","드라마","12세이상관람가","장건재|안선경","(주)모쿠슈라","(주)모쿠슈라","한국"
"20258541","제이홉 투어 ‘홉 온 더 스테이지’ 더 무비","20251112","공연","전체관람가","박준수","(주)하이브","씨지브이 아이스콘","한국"
"20258960","쫄깃한 맛보고 가라는 육덕녀","20251107","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20259003","어린 여자의 탐스러운 가랑이","20251107","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20259172","섹스에 중독된 소녀 그리고 유부녀3","20251107","성인물(에로)","청소년관람불가","성기만","스마일컨텐츠","스마일컨텐츠","한국"
"20258959","내 여자친구는 예쁜 아줌마","20251106","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20259002","나이 많은 남자가 좋은 20살","20251106","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20256505","형수의 맛","20251105","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
"20259001","친구와 여자친구 교환 스와핑","20251105","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20255662","이모의 맛","20251105","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
"20258958","성처리 도구가 되고 싶은 여동생","20251105","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20258127","검은뱀","20251029","액션|범죄","청소년관람불가","박도환","케이스타","(주)이놀미디어","한국"
"20257083","건국전쟁2","20250910","다큐멘터리","12세이상관람가","김덕영","다큐스토리프로덕션","다큐스토리프로덕션","한국"
"20242465","라리랑","20251029","가족|코미디|드라마","12세이상관람가","나선희","641필름","(주)누리픽쳐스","한국"
"20257746","투모로우바이투게더 브이알 콘서트 : 하트 어택","20251010","공연","전체관람가","김지애","(주)어메이즈브이알코리아","(주)어메이즈브이알코리아","한국"
"20212425","1980 사북","20251029","다큐멘터리","12세이상관람가","박봉남","영화사 느티","(주)엣나인필름","한국"
"20212371","에스퍼의 빛","20251105","다큐멘터리|판타지|어드벤처","12세이상관람가","정재훈","워킹아하","시네마토그래프","한국"
"20249460","바람이 전하는 말","20251105","다큐멘터리","전체관람가","양희","㈜욱희씨네","판씨네마(주)","한국"
"20257728","중간계","20251015","액션","15세이상관람가","강윤성","(주)포엔터테인먼트","씨제이 씨지브이(CJ CGV)(주)","한국"
"20212369","양양","20251022","다큐멘터리","12세이상관람가","양주연","영화사 금요일","(주)영화사 진진","한국"
"20243864","연의 편지","20251001","애니메이션","12세이상관람가","김용환","스튜디오리코 주식회사|스튜디오엔(주)","롯데컬처웍스(주)롯데엔터테인먼트","한국"
"20211791","하이파이브","20250530","코미디|액션","15세이상관람가","강형철","(주)안나푸르나필름","(주)넥스트엔터테인먼트월드(NEW)","한국"
"20249464","우리 둘 사이에","20250730","드라마","12세이상관람가","성지혜","(주)영화사진","㈜인디스토리","한국"
"20259320","전국 성인 체전","20251031","성인물(에로)","청소년관람불가","","유한회사 영화사 반딧불","유한회사 영화사 반딧불","한국"
"20259361","심판 누나의 뒷골문","20251031","성인물(에로)","청소년관람불가","","유한회사 영화사 반딧불","유한회사 영화사 반딧불","한국"
"20258418","유부녀 : 활짝 열린 꽃잎들","20251029","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20258419","여자들 : 핑크색 속살이 열리는 날","20251029","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20257949","밀애 : 새엄마와 의붓아들 그리고","20251029","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20258420","철퍽 철퍽 살 부딪히는 소리","20251022","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20258417","부부섹스 컬렉션","20251022","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20253815","섹스 판타지 월드 무삭제","20251015","성인물(에로)","청소년관람불가","","","(주)두리컴미디어","한국"
"20257934","나를 미치게 하는 섹스파트너","20251015","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20257585","활짝 열린 핑크색 꽃잎들","20251010","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20257584","비밀이야 : 새엄마, 친구엄마, 장모님","20251010","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20225855","하얀 차를 탄 여자","20251029","스릴러","15세이상관람가","고혜진","에스엘엘|(주)비에이엔터테인먼트","(주)바이포엠스튜디오","한국"
"20234714","바얌섬","20251029","미스터리|판타지","15세이상관람가","김유민","작은야생","필름다빈","한국"
"20257538","발정나 벌어진 장모 허벅지","20251003","성인물(에로)","청소년관람불가","","","(주)씨맥스커뮤니케이션즈","한국"
"20227228","디바 야누스","20251022","다큐멘터리","전체관람가","조은성","로그필름","(주)디스테이션","한국"
"20249462","수학영재 형주","20251015","드라마","12세이상관람가","최창환","유엠아이웍스 주식회사","㈜인디스토리","한국"
"20259028","에이티즈 에이 투 지 온 스크린","20251023","공연","전체관람가","","","씨지브이 아이스콘","한국"
"20257102","사랑가 사랑을 더하다","20251023","드라마","15세이상관람가","이한열","","(주)피터팬픽쳐스","한국"
"20175301","부산포니아","20251022","드라마","12세이상관람가","이서호","프로덕션 리버럴그로브","(주)삼백상회","한국"
"20193128","가나안 김용기-조국이여 안심하라","20251022","다큐멘터리","12세이상관람가|12세이상관람가|12세이상관람가","김상철","파이오니아21","(주)드림팩트엔터테인먼트","한국"
"20258183","원 인 어 밀리언","20251020","다큐멘터리|공연","전체관람가","","(주)미스틱스토리","씨제이 씨지브이(CJ CGV)(주)|씨제이포디플렉스 주식회사","한국"
"20257729","배달의 영웅 : 캐리와 슈퍼콜라2","20251003","애니메이션|SF","전체관람가","권원숙","주식회사 캐리티비","롯데컬처웍스(주)롯데엔터테인먼트","한국"
"20257635","피로 지켜낸 대한민국","20251016","다큐멘터리","15세이상관람가","","㈜영화사 아리랑","주식회사 킨스튜디오","한국"
"20254283","안동","20251016","드라마|판타지","12세이상관람가","김홍익","마루아트센터(주)|채널맥","마루아트센터(주)|(주)드림팩트엔터테인먼트","한국"
"20256001","추적","20250806","다큐멘터리","12세이상관람가","최승호","뉴스타파 필름","(주)엣나인필름","한국"
"20236434","만남의 집","20251015","드라마","12세이상관람가","차정윤","(주)고집스튜디오","(주)마노엔터테인먼트","한국"
"20240398","파과","20250430","액션|드라마|미스터리","15세이상관람가","민규동","(주)수필름","(주)넥스트엔터테인먼트월드(NEW)","한국"
"20210546","악마가 이사왔다","20250813","미스터리|코미디","12세이상관람가","이상근","(주)외유내강","(주)씨제이이엔엠","한국"
"20228988","보스","20251003","코미디|액션","15세이상관람가","라희찬","(주)하이브미디어코프","(주)하이브미디어코프|(주)마인드마크","한국"
"20243561","어쩔수가없다","20250924","스릴러|코미디","15세이상관람가","박찬욱","모호필름|씨제이이엔엠 스튜디오스 주식회사","(주)씨제이이엔엠","한국"
"20257438","출장 오피걸의 두 가지 맛","20251003","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","이타치","(주)파랑새미디어","(주)파랑새미디어","한국"
"20258331","물 잘 빼주는 여 선배","20251010","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20258330","맛 좋은 신도시 아줌마","20251010","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20258003","퐁당퐁당 러브: 더 무비","20251009","멜로/로맨스","12세이상관람가","김지현","","롯데컬처웍스(주)롯시플","한국"
"20258329","어린 남자는 참기 힘든 육덕녀","20251009","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20258342","근육남에게 눈 돌아간 노처녀","20251009","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20258327","문란한 자매와 착한 형부","20251008","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20258328","묵직한 대물에 빠져버린 여 과장","20251008","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20257794","상간시대 무삭제판","20251003","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","이타치","(주)파랑새미디어","(주)영진크리에이티브","한국"
"20192905","근본주의자","20251001","코미디|드라마|가족|액션","15세이상관람가","고봉수","고브로 필름","주식회사 씨엠닉스","한국"
"20256526","브레드이발소: 베이커리타운의 악당들","20250927","애니메이션","전체관람가","정지환","주식회사 브레드이발소","씨제이 씨지브이(CJ CGV)(주)","한국"
"20257936","속궁합 100% 여자들","20250930","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20257583","불륜 : 먼저 먹는 놈이 임자","20250930","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20254905","처제의 첫경험","20250926","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
"20256266","유부녀의 맛 2","20250926","멜로/로맨스","청소년관람불가","김태수","(주)까멜리아이엔티","(주)까멜리아이엔티","한국"
"20256006","스와핑 자매","20250926","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
"20257935","여자가 스스로 무릎을 벌릴때","20250925","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20256923","엄마 친구들 6","20250925","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20257382","오피스걸 촉촉한 조개의 맛","20250918","성인물(에로)","청소년관람불가","이희성","스마일컨텐츠","스마일컨텐츠","한국"
"20254686","섹스머신 : 학생엄마, 친구엄마, 여직원","20250918","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20256047","부부관계에서 제일 중요한 떡정","20250918","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20242717","커미션","20250716","미스터리|스릴러","15세이상관람가","신재민","(주)팬엔터테인먼트","(주)팬엔터테인먼트|(주)미디어캐슬","한국"
"20256743","아이돌 승하의 수치심 연구","20250912","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","이타치","(주)파랑새미디어","(주)영진크리에이티브","한국"
"20256070","이러면 안돼요 : 처제, 형수, 큰엄마 그리고","20250911","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20256424","매춘 2025","20250911","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20256485","변태 여교수의 진짜 성욕","20250905","성인물(에로)","청소년관람불가","","","(주)씨맥스커뮤니케이션즈","한국"
"20256423","업소녀들 : 스페셜 서비스","20250904","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20256048","그날 처제는 맛있었다","20250904","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20255801","맛있는 엄마들 : 새엄마, 친구엄마, 엄마친구","20250901","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20257842","섹스에 중독된 소녀 그리고 유부녀2","20250927","성인물(에로)","청소년관람불가","성기만","스마일컨텐츠","스마일컨텐츠","한국"
"20236296","마다가스카르 뮤직","20250925","다큐멘터리","전체관람가","정초신","신희재 프로덕션","시네마 뉴원","한국"
"20251543","독립군: 끝나지 않은 전쟁","20250813","다큐멘터리","전체관람가","문승욱","주식회사 블루필름웍스|제니필름 ","주식회사 블루필름웍스","한국"
"20257037","가족의 비밀","20250910","드라마|코미디","12세이상관람가","이상훈","(주)오예스","(주)스튜디오디에이치엘","한국"
"20242964","얼굴","20250911","미스터리","15세이상관람가","연상호","주식회사 와우포인트","메가박스중앙(주) 플러스엠 엔터테인먼트","한국"
"20257572","2021 방탄소년단 머스터 소우주 리마스터링","20250923","공연","전체관람가","","","메가박스중앙(주)","한국"
"20257587","2019 방탄소년단 월드 투어 '러브 유어셀프 : 스피크 유어셀프' 런던 리마스터링","20250923","공연","전체관람가","","","메가박스중앙(주)","한국"
"20257571","2017 방탄소년단 라이브 트릴로지 에피소드 3 윙스 투어 더 파이널 리마스터링","20250923","공연","전체관람가","","","메가박스중앙(주)","한국"
"20257586","2016 방탄소년단 라이브 화양연화 온 스테이지 : 에필로그 리마스터링","20250923","공연","12세이상관람가","","","메가박스중앙(주)","한국"
"20257745","노래방 : K여대생의 화끈한 서비스","20250919","성인물(에로)","청소년관람불가","천성준","에이원 미디어","에이원 미디어","한국"
"20244540","케이 넘버","20250514","다큐멘터리","12세이상관람가","조세영","선보필름","선보필름|(주)마노엔터테인먼트","한국"
"20256864","프랑켄슈타인 : 더 뮤지컬 라이브","20250918","공연","15세이상관람가","박재석","(주)위즈온센","(주)위즈온센|메가박스중앙(주)","한국"
"20241941","좀비딸","20250730","코미디|드라마","12세이상관람가","필감성","스튜디오엔(주)","(주)넥스트엔터테인먼트월드(NEW)","한국"
"20244606","바로 지금 여기","20250917","다큐멘터리","12세이상관람가","김진열|남태제|문정현","영화사 공생공락","미디어나무(주)","한국"
"20240320","다른 것으로 알려질 뿐이지","20250827","드라마|멜로/로맨스","15세이상관람가","조희영","(주)보더리스필름","영화로운 형제","한국"
"20247245","홈캠","20250910","공포(호러)","15세이상관람가","오세호","(주)엠픽처스","(주)스튜디오 산타클로스엔터테인먼트","한국"
"20249072","3학년 2학기","20250903","드라마","12세이상관람가","이란희","작업장 봄","작업장 봄","한국"
"20257542","클럽에서 꼬신 동네 아줌마","20250912","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20256338","재벌집 여비서-고자아들을 부탁해 무삭제판","20250912","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","","(주)파랑새미디어","(주)영진크리에이티브","한국"
"20257543","섹스하고 싶어 미칠 것 같아요","20250912","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20257517","여사친의 천박한 욕정","20250911","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20175206","엄마없는 하늘아래","20250911","가족|드라마","12세이상관람가","한명구","","시네마 뉴원","한국"
"20257516","뭐든지 다 해준다는 여 후배","20250911","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20240206","전력질주","20250910","드라마","12세이상관람가","이승훈","주식회사 헤이데이프로덕션","(주)레드아이스 엔터테인먼트|(주)삼백상회","한국"
"20257515","음탕한 육덕 여동생","20250910","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20253369","송송송 가족여행 : 전기차 지구횡단","20250910","다큐멘터리|어드벤처|가족","전체관람가","송진욱","어쩌다 필름","어쩌다 필름","한국"
"20234833","비밀일 수밖에","20250910","드라마|코미디","12세이상관람가","김대환","(주)에이디사공육|주식회사 슈아픽처스","주식회사 슈아픽처스|(주)에이디사공육","한국"
"20257541","나이 많은 유부녀들의 영계 시식","20250910","성인물(에로)","청소년관람불가","","(주)샤이커뮤니케이션즈","(주)샤이커뮤니케이션즈","한국"
"20246333","3670","20250903","드라마|멜로/로맨스","15세이상관람가","박준호","오롯필름","(주)엣나인필름","한국"
"20234933","검은 령","20250827","공포(호러)","15세이상관람가","김현준","(주)날개엔터테인먼트","(주)제이앤씨미디어그룹|와이드 릴리즈(주)","한국"
"20255866","극장판 다이노맨: 공룡산의 비밀","20250725","애니메이션","전체관람가","김호락","(주)스튜디오버튼 |(주)플레이그램","(주)플레이그램","한국"
"20233039","살인자 리포트","20250905","드라마|스릴러","청소년관람불가","조영준","주식회사 위드에이스튜디오|(주)엠아이케이스튜디오","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점|주식회사 에이투지엔터테인먼트","한국"
"20257025","스피릿 핑거스! 5화","20250903","드라마|멜로/로맨스","12세이상관람가","이철하","주식회사 넘버쓰리픽쳐스","주식회사 넘버쓰리픽쳐스","한국"
"20257017","스피릿 핑거스! 6화","20250903","드라마|멜로/로맨스","12세이상관람가","이철하","주식회사 넘버쓰리픽쳐스","주식회사 넘버쓰리픽쳐스","한국"
"20256267","처제의 떡정","20250901","멜로/로맨스","청소년관람불가","김태수","(주)까멜리아이엔티","(주)까멜리아이엔티","한국"
"20233227","전지적 독자 시점","20250723","판타지|액션","15세이상관람가","김병우","리얼라이즈픽쳐스(주)","롯데컬처웍스(주)롯데엔터테인먼트","한국"
"20256024","새엄마의 맛","20250901","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
