"영화코드","영화명","개봉일","장르","관람등급","감독","제작사","배급사","국적"
"20168962","입영전야 무삭제: 여선배의 자취방 버전","20160901","멜로/로맨스","청소년관람불가","유승택","영화사 인연","(주)소나무픽쳐스","한국"
"20169403","남녀의 궁합 무삭제","20160825","멜로/로맨스","청소년관람불가","채길병","(주)영화사 사계절","(주)영화사 사계절","한국"
"20164321","야설 쓰는 여자","20160824","드라마","청소년관람불가","강백호","(주)대양미디어","노바엔터테인먼트 ","한국"
"20168126","19금 정사: 말할 수 없는 비밀","20160818","드라마","청소년관람불가","박범수","(주)케이알씨지","(주)케이알씨지","한국"
"20168702","여자전쟁: 떠도는 눈","20160822","드라마|스릴러","청소년관람불가","김동욱","(주)베르디미디어","TCO(주)더콘텐츠온","한국"
"20168146","아빠친구","20160818","멜로/로맨스","청소년관람불가","이슬","스마일컨텐츠","스마일컨텐츠","한국"
"20150258","홀리워킹데이","20160630","다큐멘터리","전체관람가","이희원","홍시픽쳐스","무브먼트","한국"
"20145182","4등","20160413","드라마","15세이상관람가","정지우","국가인권위원회|정지우 필름","(주)프레인글로벌|CGV아트하우스","한국"
"20159772","수색역","20160331","드라마|액션|범죄","청소년관람불가","최승연","영화사 만화경","주식회사 씨네룩스","한국"
"20165961","슈퍼 프렌즈","20160810","애니메이션","전체관람가","이원재|이경호","㈜디지아트프로덕션","(주)키다리이엔티","한국"
"20167245","정사: 은밀한 밀애","20160816","멜로/로맨스|드라마","청소년관람불가","이재상","(주)케이알씨지","(주)케이알씨지","한국"
"20167541","색다른 정사","20160804","멜로/로맨스|드라마","청소년관람불가","이재남","(주)케이알씨지","(주)케이알씨지","한국"
"20162381","일사각오","20160317","드라마","12세이상관람가","고문안|권혁만","KBS","파이오니아21","한국"
"20167003","보전자전","20160728","드라마","청소년관람불가","최석원","(주)씨맥스커뮤니케이션즈","(주)레드언더미디어","한국"
"20167444","로라의 섹스 파트너","20160728","멜로/로맨스","청소년관람불가","박범수","(주)케이알씨지","(주)케이알씨지","한국"
"20164845","내 이웃의 아내","20160728","멜로/로맨스|드라마","청소년관람불가","정대만","블루스필름","(주)소나무픽쳐스","한국"
"20167242","캘린더걸-무삭제","20160726","멜로/로맨스","청소년관람불가","강현철","스마일컨텐츠","스마일컨텐츠","한국"
"20166736","핫섹토크 무삭제 감독판","20160721","멜로/로맨스","청소년관람불가","이전","(주)케이알씨지","(유)조이앤컨텐츠그룹","한국"
"20167004","마음","20160721","드라마","15세이상관람가","최원석","(주)레드언더미디어","(주)레드언더미디어","한국"
"20159641","위대한 소원","20160421","코미디|드라마","15세이상관람가","남대중","주식회사 브레인샤워","(주)넥스트엔터테인먼트월드(NEW)","한국"
"20161882","유부녀들(무삭제)","20160217","멜로/로맨스","청소년관람불가","경석호","영화사 인연","(주)소나무픽쳐스","한국"
"20164697","하숙집 2 (무삭제)","20160616","멜로/로맨스|드라마","청소년관람불가","정태령","영화사 인연","(주)소나무픽쳐스","한국"
"20158910","하숙집 2","20160107","멜로/로맨스|드라마","청소년관람불가","정태령","영화사 인연","(주)소나무픽쳐스","한국"
"20162901","내 친구의 아내 (무삭제)","20160401","멜로/로맨스","청소년관람불가","탁승오","(주)씨네토리","(주)소나무픽쳐스","한국"
"20167002","자유연애시대 무삭제 특별판","20160728","멜로/로맨스|드라마","청소년관람불가","이전","(주)케이알씨지","(주)케이알씨지","한국"
"20166867","뜨거운 이웃 무삭제 감독판","20160721","멜로/로맨스|드라마","청소년관람불가","이전","(주)케이알씨지","(주)케이알씨지","한국"
"20166903","그녀의 섹스 테크닉","20160720","멜로/로맨스","청소년관람불가","이재남","(주)케이알씨지","(주)케이알씨지","한국"
"20166912","개인교수: 심화학습 (무삭제)","20160721","멜로/로맨스|드라마","청소년관람불가","정태령","영화사 인연","(주)소나무픽쳐스","한국"
"20153316","블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들","20160414","다큐멘터리","전체관람가","이임주|김성권","㈜스토리셋","㈜스토리셋","한국"
